,Id,GroupId,RequestDate,AssetClass,NegotiationCode,Issuer,Quantity,UnitPrice,BuyDate,IssueDate,MaturityDate,TotalAmount,Source,CheckUnitPrices,CheckBoughtOnIssueDates,CheckUnitAndDate,CheckAssetClass,CheckLengthOfNegotiationCode,CheckNegotiationCode,Subset,Flag
0,002fa79e-7461-4d4f-9974-7c5115b302bb,508001,5/15/2023,CDB,CDB122JYBZ4,BANCO PAN S/A,20.0,1000.0,3/21/2022,3/21/2022,3/22/2027,20000.0,EASYNVEST,True,True,True,True,True,True,CDB,True
1,0030eac0-00ac-450c-9826-cc6c3934924f,506528,5/12/2023,CDB,CDB222CV9TX,BANCO MASTER S/A,25.0,1000.0,5/11/2022,5/11/2022,5/11/2027,25000.0,BTG PACTUAL,True,True,True,True,True,True,CDB,True
2,003de166-edcf-4843-8200-7327e43bf714,512976,5/22/2023,CDB,CDB321EWU8T,BANCO AGIBANK S.A,5.0,1000.0,8/26/2021,8/26/2021,8/26/2025,5000.0,VITREO,True,True,True,True,True,True,CDB,True
3,00b6775b-63bc-4f3e-af0a-967bba44361d,507577,5/15/2023,CDB,CDB122BV79F,BANCO MASTER S/A,40.0,1000.0,2/17/2022,2/17/2022,1/22/2027,40000.0,EASYNVEST,True,True,True,True,True,True,CDB,True
4,011fc327-af0b-459c-a030-c52a14ba07f0,509382,5/17/2023,CDB,CDB321EN1LS,BANCO FIBRA SA,36.0,1130.89,3/6/2023,8/25/2021,8/24/2026,40712.04,RICO,False,False,True,True,True,True,CDB,True
5,0147c734-c645-469f-80eb-a214014944c9,510048,5/18/2023,CDB,CDB122GJQD0,WILL FINANCEIRA,9.0,1000.0,3/8/2022,3/8/2022,8/30/2023,9000.0,MODAL,True,True,True,True,True,True,CDB,True
6,015bbaf0-651f-40f6-b35d-3060e1639194,508474,5/16/2023,CDB,CDB122B3WQM,BANCO ORIGINAL S/A,100.0,1000.0,2/15/2022,2/15/2022,2/15/2024,100000.0,BTG PACTUAL,True,True,True,True,True,True,CDB,True
7,02018fb7-0f15-4880-8bdf-727b7c0554aa,506888,5/12/2023,CDB,CDB1196A8LY,BANCO DIGIMAIS S.A.,13.0,1263.728523,8/1/2022,2/13/2019,1/18/2024,16428.470799,MODAL,False,False,True,True,True,True,CDB,True
8,0215489d-777e-4dd9-be2b-a37d0797631f,510991,5/18/2023,CDB,CDB321DQDOW,BANCO MASTER S/A,600.0,1.0,8/20/2021,8/20/2021,6/30/2031,600.0,EASYNVEST,True,True,True,True,True,True,CDB,True
9,0236a668-4cb7-4895-9045-1caf94aa6da8,506148,5/12/2023,CDB,CDB320551KU,BANCO MASTER S/A,20.0,1.0,7/27/2020,7/27/2020,8/5/2030,20.0,MODAL,True,True,True,True,True,True,CDB,True
10,028cc3de-0c6d-4c1d-83db-2187864a2612,509171,5/17/2023,CDB,CDB4222Y3T0,BANCO AGIBANK S.A,45.0,1000.0,10/7/2022,10/7/2022,10/9/2023,45000.0,MODAL,True,True,True,True,True,True,CDB,True
11,030e6bf3-28ea-43ef-a2fc-46bb25547f76,510233,5/18/2023,CDB,CDB222GCQA6,BANCO C6 S.A.,50.0,1000.0,5/24/2022,5/24/2022,5/24/2023,50000.0,SAFRA BANCO,True,True,True,True,True,True,CDB,True
12,0339659d-73ec-4a38-a387-5c648941a027,512360,5/22/2023,CDB,CDB121001Y2,BANCO FIBRA SA,12.0,1000.0,1/4/2021,1/4/2021,1/4/2026,12000.0,MODAL,True,True,True,True,True,True,CDB,True
13,03df09a4-3b3b-4741-b3f0-73c29afc9fe6,506844,5/12/2023,CDB,CDB321N7NI8,BANCO C6 S.A.,115.0,1.067715,9/29/2021,9/29/2021,9/20/2023,122.787225,MODAL,False,True,False,True,True,True,CDB,False
14,03fc90c4-19fb-4f00-a243-d0d83645b111,506888,5/12/2023,CDB,CDB321NHZRW,BANCO ORIGINAL S/A,58.0,1076.526479,9/30/2022,9/30/2021,9/30/2023,62438.535782,MODAL,False,False,True,True,True,True,CDB,True
17,0547b430-9562-4c20-b3ba-9e9e08a8b1d1,506888,5/12/2023,CDB,CDB21939VVQ,BANCO MASTER S/A,7.0,1078.884005,7/28/2022,4/18/2019,4/16/2027,7552.188035,MODAL,False,False,True,True,True,True,CDB,True
